"topic_id","question_text","options","correct_answer"
"9109","Xarici qurğuların idarə olunması üçün istifadə edilən elektron sxem aşağıdakılardan hansıdır ?","[""Plotterlər"", ""Şifratorlar"", ""Drayverlər"", ""Kontrollerlər"", ""Skanerlər""]","3"
"9109","Elektron cədvəldə sətirlər necə nömrələnir ?","[""A, B, C, ...Z, AA,. :"", ""1,2,3,....."", ""İxtiyari"", ""Sağdan sola"", ""Aşağıdan yuxarı""]","0"
"9109","Aşağıdakılardan hansı İntenet şəbəkəsində elektron poçt ünvanı ola bilər ?","[""user at host"", ""2:5020\\23.77"", ""victor@"", ""gularaisayeva@mail.ru"", ""nT@@mgpu.nisk.ni.""]","3"
"9109","İnformasiyanın miqdarının elementar ölçü vahidi hansıdır ?","[""Bayt"", ""Kbayt"", ""Mbayt"", ""Bit"", ""Səkkiz bit""]","0"
"9109","Digər kompyuterlərlə informasiya mübadiləsini telefon şəbəkəsi vasitəsilə yaradan qurğu hansıdır ?","[""Telefon"", ""Şəbəkə"", ""Kabellər"", ""Modem"", ""1-4 cavablarından heç birisi düzgün deyil.""]","3"
"9109","Kompyuterdə diyircəkli avtoqələmin analoqu olan əmrli idarəetmə qurğusu hansıdır ?","[""Skaner"", ""Maus"", ""Trekbol"", ""Coystik"", ""Penmaus""]","4"
"9109","Fayl nədir ?","[""Kompyuterdə istifadə olunan proqram və ya verilənlərə verilmiş addır."", ""Xarici daşıyıcıda yerləşən adlandırılmış verilənlərin ardıcıllığıdır."", ""Verilənlərlə işi təmin edən əməliyyat sisteminin əmridir."", ""Yaddaşda yerləşən və icra üçün hazır olsn proqrmadır."", ""Yaddaşda yerləşən və hər hansı proqram tərəfindən istifadə edilən verilənlərdir.""]","1"
"9109","Kompakt-disk (CD) nədir ?","[""Kiçik ölçüyə malik diskdir."", ""İnformasiyanın yüksək sıxlıqla yazıldığı maqnit diskdir."", ""İnformasiyanın lazer şüası vasitəsilə oxunduğu optik diskdir."", ""İnformasiyanın sıxılması əməliyyatının yerinə yetirilməsindən sonra alınan diskdir."", ""Kiçik ölçülü dəyişdirə bilən maqnit diskdir.""]","2"
"9109","Elektron cədvəlin əsas elementi hansıdır ?","[""Sütun"", ""Sətir"", ""Oyuq"", ""Düstur"", ""İstinad ( müraciət )""]","2"
"9109","Siyahıda verilmiş qurğulardan hansı informasiyanın xaric olunması (çıxışı ) zamanı istifadə olunur.","[""klaviatura , skaner, printer"", ""skaner, printer, kseroks"", ""klaviatura, skaner"", ""monitor, printer"", ""skaner , kseroks""]","3"
"9109","Siayıha verilmiş genişlənmələrdən hansı mətnlər və sənədlərdən ibarət fayllar üçün istifadə olunur?","[""exe, zip"", ""doc , bmp"", ""doc,exe,txt"", ""exe,txt,bmp"", ""doc,txt 0 = 0 0 ( 0 ) 0 = 0 0   0 = 3 6 0 0 h 0 = 0 0  ""]","4"
"9109","Hansı alqoritm xətti adlanır?","[""Hər hansı bir obyektin uzunluğunun hesablayan"", ""Eyni bir əməliyyatı ardıcıl olaraq icra edən"", ""Budaqlanmaya və dövrə malik olmayan"", ""Basic dilində yazılmış"", ""Proseduraya müraciət etməyən""]","2"
"9109","Məntiqi dəyişənin ala biləcəyi qiymət hansıdır ?","[""\""Həqiqət\"", \""Yalan\"" və \""Təyin olunmayıb\"""", ""0,1,2"", ""-1,1:"", ""1-3 cavablarının hamısı düzgündür."", ""1-4 cavablarının heç birisi düzgün deyil .""]","0"
"9109","Elektron cədvəldə oyuq qeyd edilərkən sətrin nömrəsindən əvvəl ""$"" ( və ya ""!"" ) işarəsi qoyularsa, onda bu işarə nəyi göstərəcək?","[""Pul formatını"", ""Düsturun başlanğıcını"", ""Mütləq ünvanlaşdırmanı"", ""Oyuqlar blokunun seçiminin başlanğıcını"", ""Cari sətirdən başlayaraq sətirlərin nömrəsinin yeindən hesablanmasını""]","2"
"9109","Hansı rejim Word mətn redaktorunun ""Fayl"" menyusuna daxil deyil ?","[""Köçürtmək, sıxmaq"", ""Yaratmaq, açmaq"", ""Köçürtmək, açmaq, yadda saxlamaq"", ""Açmaq, sıxmaq"", ""Yaratmaq , yadda saxlamaq""]","4"
"9109","Verilmiş mülahizələrdən hansıları həqiqətdir ? Kompyuter ..... İstismar oluna bilər : 1) Prosessorsuz 2) Daxili yaddaşsız 3) printersiz 4) Disk yaddaşsız","[""1,4"", ""3"", ""1"", ""2"", ""1,2""]","2"
"9109","Əməliyyat sistemi ilə periferiya qurğuları arasında qarşılıqlı əlaqəni təmin edən proqram hansıdır ?","[""Translaytor"", ""Kontroller"", ""Drayver"", ""Kompilyator"", ""Əməliyyat sistemi""]","2"
"9109","Kompyuterdə simvol tipli informasiyanın daxil edilməsi üçün istifadə olunan düyməli ( knopkalı) qurğu hansıdır ?","[""Coystik"", ""Maus"", ""Trekbol"", ""Klaviatura"", ""1-4 cavablarından heç biri dügün deyil.""]","3"
"9109","8 bitlə kodlaşdırılan ən böyük natural ədəd hansıdır ?","[""127"", ""255"", ""256"", ""512"", ""99999999""]","1"
"9109","5 kilobaytda neçə bayt yerləşir ?","[""5000 bayt"", ""5120 bayt"", ""500 bayt"", ""5000 bit"", ""5120 bit""]","1"
"9109","10 mövqedə sıfır və birlərlə kodlaşdırıla bilən ədədlərin sayı nəyə bərabərdir ?","[""1000"", ""1024"", ""10"", ""256"", ""512""]","1"
"9109","16 bitlə kodlaşdırılan ən böyük natural ədəd hansıdır?","[""255"", ""256"", ""32768"", ""65535"", ""99999999""]","3"
"9109","Ən kiçik ünvanlanan yaddaş vahidi nədir?","[""bit"", ""kbit"", ""bayt"", ""kbayt"", ""dit""]","2"
